customer_id,gender,age,tenure_months,contract_type,state,signup_date
10042,Female,25,33,Month-to-month,Maharashtra,2020-05-29
10043,Female,67,38,Month-to-month,Maharashtra,2018-03-09
10044,Female,40,20,One year,Gujarat,2021-05-01
10045,Female,46,35,Month-to-month,West Bengal,2020-12-14
10046,Female,35,37,Month-to-month,Tamil Nadu,2020-09-06
10047,Male,48,32,Month-to-month,West Bengal,2021-11-03
10048,Female,47,33,Month-to-month,Tamil Nadu,2020-08-31
10049,Female,69,37,One year,West Bengal,2021-04-06
10050,Male,56,30,Month-to-month,Maharashtra,2021-12-03
10051,Female,52,27,Month-to-month,West Bengal,2019-05-23
10052,Male,35,35,Month-to-month,West Bengal,2022-04-10
10053,Female,59,38,One year,Tamil Nadu,2022-07-25
10054,Male,56,32,One year,Karnataka,2020-04-16
10055,Female,34,31,Month-to-month,Tamil Nadu,2021-01-30
10056,Female,31,25,One year,Tamil Nadu,2020-06-04
10057,Male,48,22,Month-to-month,Tamil Nadu,2020-03-04
10058,Male,41,30,Two year,Delhi,2023-01-06
10059,Male,52,42,Month-to-month,Delhi,2023-01-04
10060,Male,61,34,One year,Delhi,2019-02-26
10061,Male,62,32,Month-to-month,Tamil Nadu,2023-06-11
10062,Male,51,26,Month-to-month,Karnataka,2020-02-14
10063,Male,20,29,Month-to-month,Tamil Nadu,2019-04-23
10064,Male,54,23,Two year,Maharashtra,2020-07-14
10065,Female,60,30,Month-to-month,Karnataka,2018-04-30
10066,Female,57,32,Two year,Delhi,2023-04-23
10067,Male,43,25,Month-to-month,West Bengal,2022-11-02
10068,Female,72,25,Month-to-month,West Bengal,2021-08-07
10069,Female,40,22,Month-to-month,Gujarat,2019-05-03
10070,Female,61,35,One year,Karnataka,2021-03-30
10071,Female,56,30,Month-to-month,Delhi,2022-08-24
10072,Male,32,40,Two year,Karnataka,2018-03-19
10073,Female,73,21,Two year,Karnataka,2020-11-27
10074,Male,66,22,Two year,West Bengal,2021-11-18
10075,Female,21,30,Month-to-month,Tamil Nadu,2019-03-17
10076,Female,46,30,One year,Maharashtra,2022-04-13
10077,Female,39,26,One year,Gujarat,2019-04-07
10078,Male,42,29,Month-to-month,Delhi,2019-09-04
10079,Female,30,39,One year,Karnataka,2021-08-10
10080,Male,35,32,Month-to-month,Gujarat,2021-11-24
10081,Female,50,36,Month-to-month,Karnataka,2022-07-18
10082,Male,33,32,Month-to-month,West Bengal,2020-07-05
10083,Female,62,26,Month-to-month,Maharashtra,2021-01-20
10084,Male,59,32,Month-to-month,West Bengal,2022-11-26
10085,Male,61,22,Month-to-month,Gujarat,2019-09-01
10086,Female,19,29,One year,Delhi,2018-01-06
10087,Male,72,22,Month-to-month,Karnataka,2019-11-12
10088,Female,52,34,Month-to-month,Maharashtra,2020-06-13
10089,Female,59,20,Month-to-month,West Bengal,2018-09-28
10090,Female,51,41,Month-to-month,Gujarat,2022-07-02
10091,Female,47,33,One year,West Bengal,2023-04-07
10092,Female,72,31,Month-to-month,Karnataka,2020-03-21
10093,Female,30,32,One year,Karnataka,2019-07-13
10094,Female,30,32,Month-to-month,Delhi,2018-04-09
10095,Female,35,34,One year,Maharashtra,2019-06-10
10096,Female,49,38,Month-to-month,Tamil Nadu,2018-07-13
10097,Female,49,30,Month-to-month,West Bengal,2021-03-26
10098,Female,52,26,One year,Karnataka,2023-04-08
10099,Male,56,31,Month-to-month,Gujarat,2022-08-17
10100,Male,63,22,One year,West Bengal,2021-02-12
10101,Female,69,27,One year,Delhi,2019-01-31
10102,Female,46,32,Month-to-month,Delhi,2020-02-09
10103,Female,66,33,Month-to-month,Karnataka,2022-08-08
10104,Female,46,33,Month-to-month,Karnataka,2023-01-01
10105,Female,70,27,Two year,Karnataka,2020-10-20
10106,Female,61,29,One year,Tamil Nadu,2022-03-26
10107,Female,74,39,Month-to-month,Karnataka,2020-05-29
10108,Female,33,27,Month-to-month,West Bengal,2021-05-22
10109,Male,73,28,Month-to-month,West Bengal,2020-01-15
10110,Female,61,33,One year,Maharashtra,2019-11-14
10111,Male,64,28,Month-to-month,Gujarat,2022-04-06
10112,Female,74,29,Month-to-month,Karnataka,2018-01-15
10113,Female,27,38,Two year,West Bengal,2021-12-13
10114,Male,47,23,Month-to-month,West Bengal,2019-01-03
10115,Female,42,32,Month-to-month,West Bengal,2019-09-30
10116,Male,56,27,Two year,Tamil Nadu,2020-05-02
10117,Female,37,28,One year,Gujarat,2023-02-20
10118,Female,22,33,Month-to-month,Delhi,2021-05-21
10119,Male,18,28,Month-to-month,West Bengal,2019-12-01
10120,Female,47,33,Month-to-month,Karnataka,2022-09-04
10121,Male,66,30,Month-to-month,West Bengal,2022-11-18
10122,Female,20,28,Two year,Gujarat,2018-01-05
10123,Male,62,24,Month-to-month,Delhi,2018-08-19
10124,Male,31,34,One year,Tamil Nadu,2021-05-09
10125,Female,73,27,Two year,Maharashtra,2023-03-24
10126,Female,47,32,Month-to-month,Karnataka,2021-11-26
10127,Male,67,44,Month-to-month,Maharashtra,2021-03-18
10128,Female,21,28,Month-to-month,Tamil Nadu,2022-05-27
10129,Female,35,31,Two year,Gujarat,2022-02-24
10130,Female,54,31,One year,Gujarat,2020-10-08
10131,Male,42,34,Month-to-month,Tamil Nadu,2021-06-03
10132,Male,65,29,One year,West Bengal,2019-08-09
10133,Male,18,26,Month-to-month,Tamil Nadu,2023-01-17
10134,Male,70,19,Two year,Karnataka,2018-06-18
10135,Male,63,31,Month-to-month,Delhi,2020-01-31
10136,Male,32,31,Month-to-month,Maharashtra,2020-03-02
10137,Male,26,29,Two year,Maharashtra,2020-09-26
10138,Male,32,30,Month-to-month,Gujarat,2018-06-01
10139,Male,66,32,Month-to-month,West Bengal,2020-10-12
10140,Female,74,32,Month-to-month,Gujarat,2018-08-12
10141,Male,41,28,Month-to-month,Karnataka,2019-05-19
10142,Female,21,30,Month-to-month,Tamil Nadu,2022-10-27
10143,Female,29,39,Two year,Maharashtra,2022-04-23
10144,Female,54,30,Month-to-month,Karnataka,2018-02-13
10145,Male,54,23,Month-to-month,Gujarat,2019-11-28
10146,Male,60,23,One year,Gujarat,2019-05-19
10147,Male,23,26,Month-to-month,Maharashtra,2023-06-02
10148,Male,56,41,Month-to-month,Gujarat,2021-06-18
10149,Female,73,30,One year,West Bengal,2020-07-18
10150,Male,63,31,Two year,Gujarat,2020-04-22
10151,Male,41,26,One year,Delhi,2018-12-17
10152,Male,28,34,One year,Tamil Nadu,2022-10-12
10153,Male,30,30,Month-to-month,Gujarat,2018-01-23
10154,Male,51,31,Two year,Delhi,2022-07-18
10155,Female,42,36,Month-to-month,Karnataka,2019-08-21
10156,Male,24,25,One year,Gujarat,2020-12-02
10157,Female,69,37,Month-to-month,West Bengal,2019-04-11
10158,Male,21,29,Two year,Karnataka,2018-02-09
10159,Female,25,33,One year,Gujarat,2018-10-30
10160,Male,37,33,One year,Maharashtra,2022-09-01
10161,Male,46,27,Month-to-month,Delhi,2018-06-24
10162,Female,71,35,Month-to-month,Delhi,2020-09-25
10163,Female,70,33,One year,Maharashtra,2022-04-05
10164,Female,68,26,One year,Tamil Nadu,2022-01-24
10165,Male,62,34,Month-to-month,West Bengal,2019-09-13
10166,Female,63,34,Two year,Delhi,2021-05-01
10167,Male,27,33,Two year,Karnataka,2018-09-01
10168,Male,60,36,Month-to-month,West Bengal,2020-04-15
10169,Female,51,21,One year,Delhi,2018-10-07
10170,Female,74,20,Month-to-month,Tamil Nadu,2022-10-30
10171,Male,43,28,Month-to-month,Karnataka,2020-11-25
10172,Male,58,27,Month-to-month,West Bengal,2019-07-11
10173,Female,66,30,Month-to-month,Karnataka,2020-06-16
10174,Female,20,20,One year,Maharashtra,2022-04-13
10175,Female,73,35,Month-to-month,Gujarat,2021-03-23
10176,Male,23,18,One year,Maharashtra,2020-11-12
10177,Male,22,28,One year,West Bengal,2019-12-20
10178,Male,22,25,One year,Gujarat,2020-07-20
10179,Male,71,28,Month-to-month,Maharashtra,2018-04-01
10180,Male,64,27,Two year,Gujarat,2019-01-25
10181,Male,40,25,Month-to-month,Delhi,2023-05-09
10182,Female,66,28,Month-to-month,Karnataka,2021-10-14
10183,Male,26,30,Month-to-month,Gujarat,2019-07-04
10184,Male,52,31,Month-to-month,Delhi,2020-07-19
10185,Male,37,20,Two year,Tamil Nadu,2021-06-05
10186,Female,66,25,Month-to-month,Maharashtra,2021-05-10
10187,Male,59,31,One year,Tamil Nadu,2021-10-05
10188,Male,52,23,Month-to-month,West Bengal,2023-01-19
10189,Female,67,26,Month-to-month,Delhi,2022-11-25
10190,Male,35,26,Two year,Tamil Nadu,2020-11-27
10191,Male,34,32,One year,Tamil Nadu,2020-01-03
10192,Male,41,34,Month-to-month,Delhi,2019-05-15
10193,Male,20,17,Month-to-month,Karnataka,2022-09-19
10194,Male,49,33,Month-to-month,Gujarat,2020-12-02
10195,Female,52,36,Month-to-month,West Bengal,2020-05-20
10196,Female,55,26,One year,West Bengal,2022-07-08
10197,Female,30,27,One year,Maharashtra,2022-12-01
10198,Male,73,28,Month-to-month,Gujarat,2019-06-01
10199,Male,64,36,Two year,Maharashtra,2018-03-09
10200,Male,42,29,Month-to-month,West Bengal,2022-10-30
10201,Female,26,28,Month-to-month,Gujarat,2018-05-03
10202,Male,21,21,Month-to-month,Tamil Nadu,2022-09-05
10203,Male,31,30,One year,Karnataka,2018-12-02
10204,Female,54,32,Month-to-month,Tamil Nadu,2021-03-22
10205,Male,51,34,Month-to-month,Karnataka,2020-08-31
10206,Female,28,42,Month-to-month,Delhi,2020-02-18
10207,Female,58,27,Month-to-month,Maharashtra,2022-08-20
10208,Female,73,35,One year,Maharashtra,2021-03-31
10209,Male,20,17,Month-to-month,Delhi,2021-05-22
10210,Male,45,43,Month-to-month,Gujarat,2023-04-18
10211,Male,46,29,One year,Delhi,2021-10-31
10212,Male,26,25,Two year,West Bengal,2023-04-28
10213,Male,20,28,Two year,Delhi,2022-01-06
10214,Male,42,35,Month-to-month,Karnataka,2019-02-27
10215,Male,51,25,Month-to-month,West Bengal,2022-04-11
10216,Female,29,29,Month-to-month,Delhi,2020-07-27
10217,Male,59,25,Month-to-month,Maharashtra,2020-03-14
10218,Female,26,32,Two year,Tamil Nadu,2023-05-13
10219,Male,32,23,Month-to-month,Karnataka,2022-09-21
10220,Male,57,34,Month-to-month,Karnataka,2023-04-20
10221,Male,42,32,Month-to-month,Gujarat,2019-09-26
10222,Female,22,34,Month-to-month,Tamil Nadu,2021-06-07
10223,Female,28,38,One year,Karnataka,2020-12-18
10224,Female,51,28,Month-to-month,Delhi,2018-04-06
10225,Female,41,22,Month-to-month,Karnataka,2021-07-09
10226,Male,32,26,Month-to-month,Karnataka,2018-12-20
10227,Female,55,27,Month-to-month,Karnataka,2021-08-28
10228,Male,25,23,Month-to-month,Gujarat,2021-03-05
10229,Male,22,30,One year,Karnataka,2023-03-01
10230,Female,65,30,Month-to-month,Karnataka,2022-12-24
10231,Female,43,33,One year,Gujarat,2020-08-24
10232,Female,35,23,Two year,West Bengal,2020-07-11
10233,Female,23,22,Two year,Tamil Nadu,2019-04-18
10234,Female,54,35,Two year,West Bengal,2022-07-14
10235,Female,65,27,Month-to-month,Maharashtra,2019-03-06
10236,Female,30,36,Month-to-month,Gujarat,2023-05-15
10237,Female,45,38,Month-to-month,Gujarat,2020-09-01
10238,Male,22,35,Two year,Karnataka,2019-06-21
10239,Female,30,28,Two year,Karnataka,2023-02-21
10240,Female,34,19,Two year,Maharashtra,2021-03-15
10241,Male,67,26,Month-to-month,Karnataka,2022-03-28
10242,Female,57,34,Two year,Delhi,2018-03-28
10243,Male,62,41,Month-to-month,Karnataka,2023-05-25
10244,Male,49,44,Month-to-month,Karnataka,2018-04-19
10245,Female,46,28,Month-to-month,Delhi,2021-12-17
10246,Male,68,24,Month-to-month,Maharashtra,2021-09-30
10247,Male,20,32,Month-to-month,Delhi,2021-07-13
10248,Male,73,31,Month-to-month,Gujarat,2022-10-24
10249,Male,57,36,Month-to-month,Delhi,2022-05-29
10250,Female,51,28,One year,Tamil Nadu,2020-09-20
10251,Male,57,26,Two year,Gujarat,2022-02-26
10252,Female,44,39,One year,Karnataka,2021-09-18
10253,Male,30,29,Month-to-month,Gujarat,2020-04-01
10254,Male,62,33,One year,Maharashtra,2021-12-07
10255,Male,50,23,Two year,Maharashtra,2022-06-26
10256,Male,23,32,Month-to-month,Delhi,2020-07-25
10257,Female,41,30,Month-to-month,Gujarat,2020-10-01
10258,Female,36,30,Month-to-month,Karnataka,2019-10-11
10259,Male,33,20,Month-to-month,Maharashtra,2018-07-10
10260,Male,57,35,One year,West Bengal,2023-06-20
10261,Female,45,31,Two year,Karnataka,2020-07-21
10262,Male,50,17,Month-to-month,West Bengal,2018-05-22
10263,Male,65,29,One year,Tamil Nadu,2023-03-08
10264,Male,58,37,Two year,West Bengal,2021-01-01
10265,Female,30,44,Two year,Maharashtra,2020-04-19
10266,Female,60,31,Month-to-month,Delhi,2021-04-05
10267,Female,62,29,Two year,Tamil Nadu,2018-06-17
10268,Male,42,20,Month-to-month,Gujarat,2019-07-20
10269,Male,70,34,Month-to-month,Karnataka,2021-07-06
10270,Female,59,30,Month-to-month,Maharashtra,2022-01-02
10271,Female,53,26,Month-to-month,Tamil Nadu,2021-02-08
10272,Female,44,33,One year,Tamil Nadu,2020-01-14
10273,Female,55,31,Month-to-month,Maharashtra,2019-11-04
10274,Male,24,30,Month-to-month,Gujarat,2020-05-13
10275,Female,22,40,Month-to-month,Gujarat,2020-04-18
10276,Male,60,32,One year,Delhi,2019-06-15
10277,Female,62,27,Month-to-month,West Bengal,2021-08-06
10278,Male,74,34,One year,Gujarat,2020-08-31
10279,Female,68,29,Month-to-month,Delhi,2019-07-16
10280,Female,48,30,Month-to-month,West Bengal,2022-03-14
10281,Female,40,22,Month-to-month,Tamil Nadu,2018-06-24
10282,Female,59,28,Month-to-month,Maharashtra,2018-10-29
10283,Male,27,34,Month-to-month,Gujarat,2022-09-16
10284,Female,49,28,Month-to-month,Delhi,2018-07-04
10285,Male,60,31,Two year,Tamil Nadu,2021-09-24
10286,Male,70,35,One year,Gujarat,2019-05-25
10287,Male,47,31,Month-to-month,Karnataka,2020-03-29
10288,Male,56,33,Month-to-month,Tamil Nadu,2021-08-26
10289,Female,48,22,Two year,Gujarat,2022-03-11
10290,Male,35,25,Month-to-month,Tamil Nadu,2021-10-01
10291,Male,53,15,Month-to-month,Maharashtra,2021-01-09
10292,Male,19,37,One year,Maharashtra,2021-10-29
10293,Female,31,42,One year,Maharashtra,2018-06-05
10294,Female,30,29,Month-to-month,West Bengal,2020-02-26
10295,Female,46,30,Month-to-month,Karnataka,2020-03-05
10296,Female,29,26,Month-to-month,Maharashtra,2019-03-08
10297,Male,56,38,One year,Karnataka,2022-03-04
10298,Male,19,35,Month-to-month,Maharashtra,2020-01-31
10299,Female,49,30,Month-to-month,West Bengal,2018-05-27
10300,Male,30,31,Month-to-month,Tamil Nadu,2019-04-26
10301,Male,63,27,Month-to-month,Gujarat,2019-03-11
10302,Male,44,25,Two year,Gujarat,2022-03-23
10303,Female,66,30,One year,Maharashtra,2022-08-20
10304,Female,58,27,One year,Gujarat,2022-09-03
10305,Male,34,35,Month-to-month,Maharashtra,2018-03-10
10306,Female,57,31,Month-to-month,Maharashtra,2022-06-18
10307,Female,48,29,Month-to-month,Delhi,2023-03-20
10308,Female,51,23,Month-to-month,Delhi,2020-05-24
10309,Female,41,30,Two year,Delhi,2023-03-27
10310,Female,62,27,Month-to-month,Karnataka,2018-07-05
10311,Male,52,25,Month-to-month,Delhi,2020-06-22
10312,Female,65,25,Month-to-month,Maharashtra,2019-11-13
10313,Male,23,29,One year,West Bengal,2018-07-23
10314,Male,36,27,Month-to-month,West Bengal,2019-07-08
10315,Female,47,36,Month-to-month,Tamil Nadu,2018-01-13
10316,Male,24,28,Month-to-month,Delhi,2019-10-28
10317,Male,27,34,Two year,West Bengal,2021-07-21
10318,Male,58,31,Month-to-month,Delhi,2021-08-14
10319,Female,49,20,Two year,Tamil Nadu,2018-02-20
10320,Female,51,33,One year,West Bengal,2019-05-15
10321,Male,45,35,Month-to-month,Maharashtra,2019-01-04
10322,Female,32,42,One year,Karnataka,2019-12-25
10323,Female,47,26,Month-to-month,Delhi,2022-08-07
10324,Female,54,26,Two year,West Bengal,2018-12-23
10325,Female,46,34,Month-to-month,West Bengal,2020-10-23
10326,Male,39,30,Month-to-month,Tamil Nadu,2021-07-01
10327,Male,21,28,Month-to-month,Maharashtra,2022-02-07
10328,Female,37,36,Month-to-month,Gujarat,2020-04-26
10329,Female,49,34,Two year,West Bengal,2022-03-10
10330,Male,53,39,Month-to-month,Karnataka,2018-09-13
10331,Male,67,26,One year,Tamil Nadu,2022-06-22
10332,Female,21,24,Month-to-month,West Bengal,2022-09-05
10333,Male,44,37,Two year,West Bengal,2021-03-19
10334,Female,34,34,Month-to-month,Tamil Nadu,2022-02-20
10335,Female,29,42,Month-to-month,Tamil Nadu,2018-10-06
10336,Male,39,28,Month-to-month,Delhi,2020-12-18
10337,Male,34,35,One year,West Bengal,2019-03-22
10338,Female,27,28,Month-to-month,Gujarat,2018-04-23
10339,Female,71,36,Month-to-month,Karnataka,2020-04-15
10340,Male,18,29,Month-to-month,Maharashtra,2020-01-25
10341,Female,39,33,One year,Maharashtra,2023-01-20
10342,Male,43,18,Month-to-month,Gujarat,2022-05-12
10343,Female,73,24,Month-to-month,Tamil Nadu,2022-02-21
10344,Male,35,31,Month-to-month,Tamil Nadu,2021-12-01
10345,Male,67,23,Two year,Tamil Nadu,2019-01-02
10346,Male,31,24,Two year,West Bengal,2020-12-19
10347,Female,64,26,Month-to-month,Tamil Nadu,2018-11-25
10348,Female,46,33,Month-to-month,Tamil Nadu,2019-12-29
10349,Male,29,26,Month-to-month,West Bengal,2022-02-01
10350,Female,53,31,Month-to-month,West Bengal,2022-11-04
10351,Male,52,39,Month-to-month,Gujarat,2020-10-02
10352,Male,69,33,One year,Delhi,2022-05-10
10353,Female,29,31,Month-to-month,West Bengal,2023-03-24
10354,Female,24,27,Two year,Karnataka,2019-12-21
10355,Male,46,32,Month-to-month,Tamil Nadu,2020-12-22
10356,Female,28,34,One year,Delhi,2018-07-03
10357,Female,50,20,Month-to-month,Maharashtra,2020-10-19
10358,Male,23,26,Month-to-month,Gujarat,2018-11-07
10359,Male,64,33,Month-to-month,Delhi,2022-12-22
10360,Female,32,19,Month-to-month,West Bengal,2022-04-11
10361,Male,49,41,Month-to-month,Tamil Nadu,2018-06-26
10362,Male,68,33,One year,Tamil Nadu,2022-05-18
10363,Female,28,25,Two year,Tamil Nadu,2021-12-23
10364,Male,40,34,Month-to-month,Delhi,2021-01-01
10365,Male,43,26,Month-to-month,Tamil Nadu,2020-04-26
10366,Female,51,20,Month-to-month,West Bengal,2021-04-05
10367,Female,63,22,Month-to-month,Delhi,2021-06-02
10368,Male,51,34,Month-to-month,Tamil Nadu,2022-05-20
10369,Male,46,29,One year,Maharashtra,2022-05-24
10370,Female,21,28,Two year,Maharashtra,2023-05-30
10371,Female,34,25,Two year,Karnataka,2018-01-09
10372,Female,52,26,Month-to-month,Tamil Nadu,2018-08-24
10373,Female,30,32,Two year,Tamil Nadu,2019-12-11
10374,Male,58,27,One year,Delhi,2020-07-12
10375,Female,56,32,Month-to-month,Delhi,2019-11-16
10376,Female,32,32,Month-to-month,Tamil Nadu,2020-03-04
10377,Male,72,26,One year,Karnataka,2020-11-17
10378,Female,46,33,Month-to-month,Tamil Nadu,2020-03-18
10379,Male,46,27,Month-to-month,West Bengal,2023-04-19
10380,Female,28,32,Month-to-month,Delhi,2022-07-28
10381,Female,69,42,Month-to-month,Tamil Nadu,2018-01-27
10382,Female,49,25,Month-to-month,Delhi,2019-07-04
10383,Male,19,33,Two year,Tamil Nadu,2021-05-04
10384,Male,64,28,One year,Gujarat,2021-05-11
10385,Female,31,31,One year,Delhi,2018-03-26
10386,Male,37,29,Month-to-month,Karnataka,2023-01-30
10387,Male,39,28,One year,Gujarat,2020-11-19
10388,Male,28,24,Month-to-month,West Bengal,2019-04-11
10389,Male,44,50,Month-to-month,Tamil Nadu,2021-01-27
10390,Male,20,21,Month-to-month,West Bengal,2023-04-07
10391,Male,34,39,Month-to-month,Delhi,2021-04-28
10392,Female,61,26,Month-to-month,Gujarat,2018-01-12
10393,Female,73,34,Month-to-month,West Bengal,2022-06-15
10394,Male,45,31,Month-to-month,Karnataka,2020-10-09
10395,Female,46,32,Month-to-month,Delhi,2020-11-19
10396,Female,38,34,Two year,Gujarat,2022-10-15
10397,Female,64,25,Month-to-month,West Bengal,2020-11-27
10398,Female,33,34,One year,Gujarat,2023-02-20
10399,Male,54,26,Month-to-month,Gujarat,2019-07-26
10400,Female,37,26,Month-to-month,West Bengal,2021-08-10
10401,Female,23,19,Two year,Maharashtra,2021-10-15
10402,Male,36,34,Month-to-month,Tamil Nadu,2022-08-06
10403,Male,74,33,Month-to-month,Delhi,2020-07-02
10404,Female,22,42,One year,Delhi,2018-06-29
10405,Female,20,35,Month-to-month,Delhi,2020-03-07
10406,Female,18,40,One year,Gujarat,2021-02-09
10407,Female,55,25,Month-to-month,West Bengal,2022-11-01
10408,Female,32,34,Month-to-month,Tamil Nadu,2022-01-07
10409,Female,51,30,Month-to-month,Karnataka,2020-11-10
10410,Male,52,28,Month-to-month,Delhi,2021-03-14
10411,Female,66,31,Two year,West Bengal,2022-03-03
10412,Female,42,26,One year,Tamil Nadu,2021-03-15
10413,Male,41,38,Month-to-month,Tamil Nadu,2019-03-17
10414,Male,29,35,Month-to-month,Maharashtra,2020-06-05
10415,Male,35,32,One year,West Bengal,2019-02-25
10416,Male,32,33,Month-to-month,Delhi,2021-09-01
10417,Female,61,29,Month-to-month,Gujarat,2021-04-04
10418,Female,33,41,Month-to-month,Tamil Nadu,2022-08-03
10419,Female,44,36,Month-to-month,Tamil Nadu,2021-05-11
10420,Female,25,29,One year,Karnataka,2022-02-28
10421,Female,63,27,Two year,Maharashtra,2022-11-15
10422,Female,42,18,Month-to-month,Tamil Nadu,2022-07-07
10423,Male,34,40,Month-to-month,Tamil Nadu,2019-04-13
10424,Female,46,35,Month-to-month,Gujarat,2019-12-14
10425,Male,70,33,Month-to-month,Gujarat,2019-01-20
10426,Male,25,24,Month-to-month,Karnataka,2018-11-10
10427,Female,32,20,One year,West Bengal,2020-02-10
10428,Male,44,36,Month-to-month,Karnataka,2021-07-02
10429,Female,63,22,Month-to-month,Karnataka,2020-08-16
10430,Male,67,27,Month-to-month,Gujarat,2020-07-05
10431,Female,69,30,Month-to-month,West Bengal,2018-01-23
10432,Male,24,28,Month-to-month,Gujarat,2023-04-13
10433,Female,20,27,One year,Maharashtra,2022-11-17
10434,Female,46,43,Month-to-month,Delhi,2018-12-05
10435,Female,61,28,One year,Delhi,2022-02-25
10436,Female,70,22,Month-to-month,Maharashtra,2020-04-02
10437,Female,41,31,Month-to-month,Delhi,2022-03-15
10438,Male,20,33,Month-to-month,West Bengal,2019-01-01
10439,Male,37,37,Month-to-month,Gujarat,2021-10-27
10440,Male,63,29,Month-to-month,Delhi,2020-07-03
10441,Female,32,24,Month-to-month,West Bengal,2023-01-28
10442,Male,42,24,One year,Gujarat,2022-06-11
10443,Female,47,25,One year,West Bengal,2021-05-27
10444,Female,31,24,Month-to-month,Maharashtra,2019-04-20
10445,Male,24,34,Month-to-month,Karnataka,2021-12-17
10446,Male,34,30,Month-to-month,Maharashtra,2021-10-11
10447,Female,61,21,Month-to-month,Delhi,2022-01-23
10448,Male,37,24,Month-to-month,Gujarat,2022-03-07
10449,Female,53,25,Two year,West Bengal,2018-01-27
10450,Female,26,22,Month-to-month,Delhi,2020-07-30
10451,Female,55,30,Month-to-month,Delhi,2020-03-12
10452,Female,65,26,Month-to-month,Karnataka,2020-03-11
10453,Female,74,28,Month-to-month,Delhi,2020-05-09
10454,Male,39,32,One year,Karnataka,2021-05-31
10455,Male,71,29,Month-to-month,Gujarat,2020-05-13
10456,Female,70,31,Month-to-month,Gujarat,2019-11-21
10457,Female,70,33,One year,West Bengal,2021-03-17
10458,Male,19,30,Month-to-month,Karnataka,2021-12-18
10459,Male,41,37,One year,Maharashtra,2020-01-09
10460,Female,25,30,Month-to-month,Gujarat,2021-10-06
10461,Male,28,32,Month-to-month,West Bengal,2021-04-24
10462,Female,30,27,One year,Maharashtra,2019-02-19
10463,Male,34,33,Month-to-month,Gujarat,2023-01-04
10464,Female,25,28,Month-to-month,Gujarat,2020-09-08
10465,Male,38,25,Month-to-month,West Bengal,2019-03-05
10466,Female,35,29,Month-to-month,West Bengal,2018-02-10
10467,Male,47,35,One year,Tamil Nadu,2020-06-23
10468,Male,35,30,Two year,Delhi,2020-10-08
10469,Female,63,32,Two year,Delhi,2021-11-17
10470,Male,64,26,One year,Maharashtra,2019-12-04
10471,Female,48,34,Month-to-month,Delhi,2018-03-20
10472,Male,55,36,Month-to-month,Maharashtra,2019-12-18
10473,Female,49,27,Month-to-month,Gujarat,2023-04-04
10474,Male,28,29,Month-to-month,Tamil Nadu,2022-12-19
10475,Female,62,29,Month-to-month,Tamil Nadu,2022-12-13
10476,Male,42,28,Two year,Gujarat,2019-06-28
